year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2023,11,1,19.4,17.1,21.5,,,
2023,11,2,19.9,18.0,23.8,,,
2023,11,3,19.8,18.2,22.3,,,
2023,11,4,18.9,16.4,21.1,0.0,0.0,
2023,11,5,20.6,17.3,24.2,9.4,9.4,
2023,11,6,16.0,11.4,22.4,23.4,23.4,
2023,11,7,8.7,3.7,12.3,0.1,0.1,
2023,11,8,8.5,2.0,16.1,,,
2023,11,9,14.4,6.0,19.7,0.5,0.5,
2023,11,10,6.3,2.9,12.8,,,
2023,11,11,3.5,0.3,7.3,,,
2023,11,12,4.1,1.9,6.1,0.3,0.3,
2023,11,13,4.2,-1.0,9.4,0.1,0.1,
2023,11,14,8.1,3.3,12.5,,,
2023,11,15,9.2,5.6,14.5,,,
2023,11,16,7.8,5.1,10.7,22.3,22.3,
2023,11,17,3.2,0.1,7.8,7.9,7.9,
2023,11,18,4.2,-1.0,8.4,0.1,0.1,
2023,11,19,9.5,1.8,15.5,,,
2023,11,20,6.6,1.6,13.3,,,
2023,11,21,6.8,2.2,13.6,,,
2023,11,22,11.2,3.4,16.2,,,
2023,11,23,11.6,5.5,15.6,0.0,0.0,
