year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2002,11,1,8.9,6.0,11.3,,,
2002,11,2,5.8,-0.2,10.5,0.0,0.0,
2002,11,3,5.6,0.8,12.1,4.5,4.5,
2002,11,4,4.4,-0.8,9.8,2.0,2.0,
2002,11,5,4.5,-3.0,14.0,,,
2002,11,6,7.9,-0.3,17.5,,,
2002,11,7,11.5,4.5,17.2,17.5,17.5,
2002,11,8,6.1,1.7,10.0,1.5,1.5,
2002,11,9,5.2,2.5,9.3,0.0,0.0,
2002,11,10,7.0,-1.7,14.6,,,
2002,11,11,14.2,6.3,21.0,,,
2002,11,12,8.3,1.0,13.0,,,
2002,11,13,4.5,-0.3,11.1,,,
2002,11,14,4.3,-2.0,11.6,,,
2002,11,15,4.7,-0.2,9.3,,,
2002,11,16,4.0,-2.5,13.1,,,
2002,11,17,4.2,-3.9,13.5,2.0,2.0,
2002,11,18,2.3,-3.4,6.3,,,
2002,11,19,1.9,-4.0,8.8,,,
2002,11,20,3.5,-3.0,11.1,,,
2002,11,21,6.1,2.2,10.6,,,
2002,11,22,4.0,-3.9,15.1,,,
2002,11,23,5.8,-2.2,16.3,,,
2002,11,24,5.8,-1.3,13.8,,,
2002,11,25,4.6,-2.7,9.1,,,
2002,11,26,2.4,-4.9,7.5,0.0,0.0,
2002,11,27,2.7,-3.9,6.8,,,
2002,11,28,1.2,-6.3,11.1,,,
2002,11,29,6.2,-3.2,16.7,,,
2002,11,30,6.0,-2.5,13.0,0.5,0.5,
