year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2020,6,1,19.8,15.5,25.3,0.3,0.3,
2020,6,2,16.3,12.7,22.0,2.1,2.1,
2020,6,3,21.2,16.2,28.0,,,
2020,6,4,21.6,18.0,26.7,,,
2020,6,5,21.7,17.0,27.7,,,
2020,6,6,22.9,15.2,29.7,,,
2020,6,7,22.3,17.6,28.0,,,
2020,6,8,23.5,17.6,30.2,,,
2020,6,9,24.9,17.4,31.8,,,
2020,6,10,24.5,18.5,30.9,1.1,1.1,
2020,6,11,25.1,20.7,30.8,,,
2020,6,12,22.8,17.6,28.8,,,
2020,6,13,24.7,15.9,33.1,,,
2020,6,14,24.3,20.9,29.2,0.0,0.0,
2020,6,15,22.9,15.5,29.6,,,
2020,6,16,22.8,16.5,29.3,,,
2020,6,17,23.5,16.8,30.0,,,
2020,6,18,21.0,16.7,25.0,,,
2020,6,19,23.2,19.0,28.9,,,
2020,6,20,23.3,16.9,29.5,,,
2020,6,21,24.1,16.3,31.4,,,
2020,6,22,25.6,17.4,33.6,,,
2020,6,23,25.1,19.2,30.4,,,
2020,6,24,19.9,18.2,23.6,46.3,46.3,
2020,6,25,20.1,18.1,22.5,9.0,9.0,
2020,6,26,21.2,18.8,24.8,3.3,3.3,
2020,6,27,22.3,17.8,28.4,15.8,15.8,
2020,6,28,22.9,17.7,29.1,,,
2020,6,29,22.7,18.2,26.7,1.3,1.3,
2020,6,30,19.2,16.8,21.4,13.0,13.0,
