year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1996,8,1,29.9,24.6,35.5,,,
1996,8,2,30.0,25.5,35.6,,,
1996,8,3,29.9,25.5,35.2,,,
1996,8,4,27.3,25.5,33.1,2.6,2.6,
1996,8,5,28.1,24.9,33.2,,,
1996,8,6,28.3,24.7,32.7,,,
1996,8,7,27.5,24.4,31.0,,,
1996,8,8,27.6,24.7,32.5,,,
1996,8,9,27.7,23.3,33.5,,,
1996,8,10,28.3,26.0,33.0,0.0,0.0,
1996,8,11,28.3,25.0,33.7,0.0,0.0,
1996,8,12,29.3,23.5,35.2,,,
1996,8,13,29.2,25.6,34.5,,,
1996,8,14,29.0,25.0,34.3,,,
1996,8,15,26.1,22.7,31.6,,,
1996,8,16,25.6,19.9,31.9,,,
1996,8,17,26.5,19.6,33.7,,,
1996,8,18,27.3,21.8,33.5,,,
1996,8,19,27.1,22.8,33.4,,,
1996,8,20,27.0,22.3,33.4,,,
1996,8,21,26.7,23.6,31.4,10.3,10.3,
1996,8,22,27.2,24.3,31.6,,,
1996,8,23,23.9,21.5,28.3,,,
1996,8,24,23.6,21.4,27.5,,,
1996,8,25,22.4,20.8,24.7,0.0,0.0,
1996,8,26,19.8,18.6,22.3,35.3,35.3,
1996,8,27,19.9,19.0,21.0,52.9,52.9,
1996,8,28,20.4,18.6,23.5,0.7,0.7,
1996,8,29,22.7,17.1,28.6,1.6,1.6,
1996,8,30,20.5,18.6,23.5,9.4,9.4,
1996,8,31,21.6,18.8,27.0,1.6,1.6,
