year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2009,8,1,23.9,21.7,27.0,,,
2009,8,2,24.3,21.6,28.6,,,
2009,8,3,22.9,21.3,27.3,3.0,3.0,
2009,8,4,23.8,21.6,27.8,,,
2009,8,5,24.8,21.9,28.7,,,
2009,8,6,23.8,22.2,25.9,0.5,0.5,
2009,8,7,24.4,22.7,28.1,18.0,18.0,
2009,8,8,24.7,22.6,28.2,,,
2009,8,9,25.3,23.0,28.0,,,
2009,8,10,24.8,23.6,26.8,0.0,0.0,
2009,8,11,25.3,23.4,28.6,7.5,7.5,
2009,8,12,24.7,23.9,25.9,5.5,5.5,
2009,8,13,25.9,23.4,29.8,,,
2009,8,14,25.3,22.5,29.3,,,
2009,8,15,25.3,22.9,27.7,,,
2009,8,16,25.6,23.0,30.4,,,
2009,8,17,25.8,23.6,30.2,,,
2009,8,18,26.0,24.0,30.4,,,
2009,8,19,26.7,24.5,30.7,,,
2009,8,20,26.7,24.2,29.4,38.5,38.5,
2009,8,21,24.9,23.4,26.8,5.0,5.0,
2009,8,22,25.2,23.4,28.2,,,
2009,8,23,23.9,22.3,25.2,0.4,0.4,
2009,8,24,24.3,21.8,27.0,,,
2009,8,25,23.7,20.9,28.6,,,
2009,8,26,24.1,20.9,28.4,,,
2009,8,27,25.6,22.7,27.1,2.0,2.0,
2009,8,28,24.8,22.6,26.9,,,
2009,8,29,22.1,21.1,23.8,,,
2009,8,30,20.3,18.7,22.5,15.0,15.0,
2009,8,31,22.0,21.0,24.8,,,
