year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1980,3,1,2.5,-2.0,6.7,0.4,0.4,
1980,3,2,0.3,-7.2,9.4,,,
1980,3,3,2.4,-5.0,11.1,,,
1980,3,4,2.9,-2.2,9.2,,,
1980,3,5,4.1,-2.0,11.3,,,
1980,3,6,3.8,-3.1,12.9,,,
1980,3,7,6.8,0.0,14.9,,,
1980,3,8,6.0,-3.0,14.4,,,
1980,3,9,5.0,3.1,8.0,25.0,25.0,
1980,3,10,4.6,1.7,9.5,,,
1980,3,11,0.9,-4.5,7.2,,,
1980,3,12,0.7,-7.5,9.2,,,
1980,3,13,3.2,-6.2,12.9,,,
1980,3,14,2.6,-1.5,6.9,,,
1980,3,15,2.0,-6.4,8.2,,,
1980,3,16,3.5,-5.2,11.4,,,
1980,3,17,3.8,-4.6,13.9,,,
1980,3,18,4.2,-1.2,10.4,,,
1980,3,19,5.8,-2.3,14.8,,,
1980,3,20,6.4,-1.4,15.3,,,
1980,3,21,4.7,-2.8,13.4,,,
1980,3,22,3.3,-0.2,5.0,6.2,6.2,2.5
1980,3,23,0.5,-1.5,2.9,6.8,6.8,3.5
1980,3,24,0.8,-6.5,7.2,,,
1980,3,25,1.4,-5.6,9.1,,,
1980,3,26,3.7,-2.5,9.6,,,
1980,3,27,3.8,-6.5,14.8,,,
1980,3,28,6.4,-5.2,16.9,,,
1980,3,29,6.8,0.8,11.6,1.2,1.2,
1980,3,30,7.5,-3.0,19.8,,,
1980,3,31,8.3,6.3,13.1,4.8,4.8,
