year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2000,3,1,5.4,0.2,11.0,,,
2000,3,2,8.6,2.2,17.1,,,
2000,3,3,8.9,3.0,16.8,3.7,3.7,
2000,3,4,9.0,6.0,11.4,4.5,4.5,
2000,3,5,9.5,5.1,14.0,,,
2000,3,6,8.9,3.6,15.7,,,
2000,3,7,3.7,-1.1,10.7,,,
2000,3,8,3.1,-2.7,9.9,,,
2000,3,9,4.2,-1.3,9.1,,,
2000,3,10,6.5,0.4,11.7,,,
2000,3,11,9.1,5.9,12.5,,,
2000,3,12,10.2,6.0,15.6,,,
2000,3,13,9.5,5.0,16.3,,,
2000,3,14,10.4,5.7,17.1,,,
2000,3,15,8.8,3.5,14.7,13.3,13.3,
2000,3,16,7.8,4.6,13.2,5.9,5.9,
2000,3,17,8.6,1.9,16.2,,,
2000,3,18,9.6,3.7,16.3,,,
2000,3,19,11.3,7.0,17.8,,,
2000,3,20,8.5,4.9,12.9,,,
2000,3,21,9.1,4.3,13.7,,,
2000,3,22,9.8,5.9,14.5,,,
2000,3,23,7.6,5.1,10.7,3.8,3.8,
2000,3,24,7.7,4.6,13.5,,,
2000,3,25,9.2,3.2,15.1,,,
2000,3,26,11.6,4.0,19.5,,,
2000,3,27,12.8,5.6,18.4,,,
2000,3,28,12.2,6.7,17.7,1.9,1.9,
2000,3,29,10.1,5.9,15.3,,,
2000,3,30,11.2,3.8,19.7,,,
2000,3,31,11.9,7.3,17.0,,,
